Age,CurrentGender,Sex,MaritalStatus,RaceEthnicity,Political,SocialGroup,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,NFCMean,RFMean,JudgeMean,PersonalRecallMean,SocialRecallMean,PersonalPredictMean,SocialPredictMean
68,2,2,1,White,4,0,2.7,1.5,4.25,2.5,2.5,2.5,2.555555556,6.166666667,-51.64285714,3.571428571,5.357142857,2.333333333,4.777777778
23,2,2,2,White,1,0,1.9,3,3.25,2.25,2.75,3,2.055555556,4.25,43.64285714,3.5,3.928571429,4.111111111,4.888888889
34,2,2,1,White,5,1,2,2,3,2,3,2,2.166666667,6.5,-48.5,2.857142857,3.142857143,2.571428571,2.785714286
24,2,2,1,Black,4,0,2.7,2.5,2.5,2.5,2.5,2.25,2.888888889,5.416666667,57.42857143,4.714285714,4.142857143,4.555555556,3.333333333
79,1,1,1,White,4,0,1.1,2,2.75,3.25,1.5,2.75,2.611111111,3.75,-69,2.857142857,4.571428571,2.444444444,4.333333333
62,2,2,5,White,4,0,1.3,1.25,2.5,3.5,2.75,3,3.833333333,6.833333333,-50,3.5,4.285714286,2.777777778,3.777777778
56,1,1,2,White,3,0,3.1,1.5,3.25,2.25,2.25,4,2.944444444,1.083333333,-29.57142857,3.428571429,4.857142857,2.777777778,5.888888889
68,2,2,1,White,4,0,1,1,3.5,3.75,4,0.25,0.722222222,1.916666667,-92.85714286,1.571428571,4,1.222222222,4
41,1,1,1,White,1,0,3.8,3.25,4,2.5,3,3.5,2.666666667,4.5,31.21428571,6,6,6,6
49,2,2,1,White,7,0,1.1,2,2.5,4,2,2.75,2.388888889,5.916666667,-62.07142857,1.214285714,2.214285714,1.111111111,2.222222222
73,2,2,1,White,6,1,1.1,3,4.5,4.25,0.75,3,1.722222222,4.5,-84.28571429,1.285714286,1.357142857,1.285714286,1.285714286
73,2,2,1,White,4,1,1.2,1,2,4.25,1,2.25,1.666666667,2.083333333,-84.92857143,1,1,1,1
26,2,2,1,White,4,0,3,2.5,3.25,2.75,3,2.5,2.444444444,4.5,-48.35714286,4.642857143,4.785714286,3.555555556,3.888888889
69,2,2,5,White,4,1,2.4,2.25,3.5,4.25,1.75,3.25,3.333333333,1.5,-48.71428571,2.571428571,5.571428571,2.928571429,5.571428571
71,2,2,1,White,4,0,2.6,2.25,3,3.5,2.25,3,2.611111111,2.666666667,-12.21428571,4.071428571,3.785714286,4.555555556,4.555555556
74,2,2,4,White,2,1,1.1,1.25,1.5,3.25,1.75,2.25,0.833333333,1.416666667,-34,3.785714286,5.357142857,2.357142857,4.571428571
73,1,1,1,White,4,1,2.1,2,2.5,3.25,2,2,2.111111111,3.25,-71.64285714,1.785714286,2.642857143,1.714285714,3.285714286
